Date	Month	Metric	User	Brand	Pack Size	Pack Type	SKU	Task	Unit Sales	Sales Value	Count	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit	Unit Sales Monthly Change	Sales Value Monthly Change	Distribution Monthly Change	Cost of Sales Monthly Change	Price Monthly Change	Gross Profit Monthly Change	Indirect Costs Monthly Change	Operating Profit Monthly Change	CountTime
1/1/11	11-Jan	Mouse Clicks Per Task	User 001	Delta	12	Standard	Delta 12 Pack Standard	Add Evidence	1765	95444	9	242.48	54.08	95201.52	88884.12	6317.4	1765	95444	97.25	242.48	54.08	95201.52	88884.12	6317.4	
1/1/11	11-Jan	Mouse Clicks Per Task	User 001	Eta	12	Standard	Eta 12 Pack Standard	Review Evidence	673	31930	6	81.12	47.44	31848.88	29735.14	2113.74	673	31930	13.41	81.12	47.44	31848.88	29735.14	2113.74	
1/1/11	11-Jan	Mouse Clicks Per Task	User 001	Omicron	8	Standard	Omicron 8 Pack Standard	Sign Off	1100	91520	19	232.52	83.2	91287.48	85230.37	6057.11	1100	91520	99.16	232.52	83.2	91287.48	85230.37	6057.11	
1/1/11	11-Jan	Time On Task/secs	User 001	Omicron	12	Deluxe	Omicron 12 Pack Deluxe	Add Evidence	548	48904	43	124.24	89.24	48779.76	45542.54	3237.22	548	48904	89.68	124.24	89.24	48779.76	45542.54	3237.22	
1/1/11	11-Jan	Time On Task/secs	User 001	Omicron	12	Giftset	Omicron 12 Pack Giftset	Review Evidence	3307	269467	64	684.61	81.48	268782.39	250946.65	17835.74	3307	269467	98.19	684.61	81.48	268782.39	250946.65	17835.74	
1/1/11	11-Jan	Time On Task/secs	User 001	Omicron	12	Standard	Omicron 12 Pack Standard	Sign Off	9596	662294	61	1682.63	69.02	660611.37	616775.54	43835.83	9596	662294	99.52	1682.63	69.02	660611.37	616775.54	43835.83	
1/1/11	11-Jan	Mouse Clicks Per Task	User 001	Omicron	18	Standard	Omicron 18 Pack Standard	Add Evidence 2	6629	409612	9	1040.66	61.79	408571.34	381459.74	27111.6	6629	409612	96.28	1040.66	61.79	408571.34	381459.74	27111.6	
1/1/11	11-Jan	Time On Task/secs	User 001	Sigma	12	Giftset	Sigma 12 Pack Giftset	Add Evidence 2	695	105748	37	268.66	152.16	105479.34	98480.32	6999.02	695	105748	71.18	268.66	152.16	105479.34	98480.32	6999.02	
1/1/11	11-Jan	Mouse Clicks Per Task	User 002	Epsilon	12	Standard	Epsilon 12 Pack Standard	Add Evidence	1207	63214	24	160.6	52.37	63053.4	58869.6	4183.8	1207	63214	82.07	160.6	52.37	63053.4	58869.6	4183.8	
1/1/11	11-Jan	Mouse Clicks Per Task	User 002	Iota	12	Giftset	Iota 12 Pack Giftset	Review Evidence	610	55730	15	141.59	91.36	55588.41	51899.59	3688.82	610	55730	93.91	141.59	91.36	55588.41	51899.59	3688.82	
1/1/11	11-Jan	Mouse Clicks Per Task	User 002	Iota	12	Standard	Iota 12 Pack Standard	Sign Off	1096	90079	3	228.85	82.19	89850.15	83887.66	5962.49	1096	90079	95.69	228.85	82.19	89850.15	83887.66	5962.49	
1/1/11	11-Jan	Time On Task/secs	User 002	Lambda	8	Standard	Lambda 8 Pack Standard	Add Evidence	469	30940	72	78.61	65.97	30861.39	28813.73	2047.66	469	30940	73.82	78.61	65.97	30861.39	28813.73	2047.66	
1/1/11	11-Jan	Time On Task/secs	User 002	Lambda	12	Standard	Lambda 12 Pack Standard	Review Evidence	2948	168473	63	428.02	57.15	168044.98	156894.53	11150.45	2948	168473	99.48	428.02	57.15	168044.98	156894.53	11150.45	
1/1/11	11-Jan	Time On Task/secs	User 002	Mu	12	Standard	Mu 12 Pack Standard	Sign Off	105	16874	28	42.87	160.7	16831.13	15714.65	1116.48	105	16874	25.45	42.87	160.7	16831.13	15714.65	1116.48	
1/1/11	11-Jan	Mouse Clicks Per Task	User 002	Theta	6	Standard	Theta 6 Pack Standard	Add Evidence 2	133	12991	8	33.01	97.68	12957.99	12098.34	859.65	133	12991	16.45	33.01	97.68	12957.99	12098.34	859.65	
1/1/11	11-Jan	Time On Task/secs	User 002	Theta	8	Standard	Theta 8 Pack Standard	Add Evidence 2	890	77897	32	197.9	87.52	77699.1	72543.1	5156	890	77897	99.34	197.9	87.52	77699.1	72543.1	5156	
1/1/11	11-Jan	Mouse Clicks Per Task	User 003	Gamma	12	Standard	Gamma 12 Pack Standard	Add Evidence	2600	162545	25	412.96	62.52	162132.04	151373.95	10758.09	2600	162545	98.33	412.96	62.52	162132.04	151373.95	10758.09	
1/1/11	11-Jan	Mouse Clicks Per Task	User 003	Gamma	12	Standard	Gamma 12 Pack Standard	Review Evidence	1748	120541	15	306.25	68.96	120234.75	112256.06	7978.69	1748	120541	27.13	306.25	68.96	120234.75	112256.06	7978.69	
1/2/11	11-Feb	Mouse Clicks Per Task	User 003	Gamma	12	Standard	Gamma 12 Pack Standard	Sign Off	3179	197648	14	502.15	62.17	197145.85	184063.82	13082.03	579	35103	0.69	89.19	-0.35	35013.81	32689.87	2323.94	
1/2/11	11-Feb	Time On Task/secs	User 003	Gamma	12	Standard	Gamma 12 Pack Standard	Add Evidence	1937	136766	90	347.47	70.61	136418.53	127366.69	9051.84	189	16225	5.12	41.22	1.65	16183.78	15110.63	1073.15	
1/3/11	11-Mar	Time On Task/secs	User 003	Gamma	12	Standard	Gamma 12 Pack Standard	Review Evidence	2257	142670	75	362.47	63.21	142307.53	132864.37	9443.16	-922	-54978	-0.67	-139.68	1.04	-54838.32	-51199.45	-3638.87	
1/3/11	11-Mar	Time On Task/secs	User 003	Gamma	12	Standard	Gamma 12 Pack Standard	Sign Off	1561	109201	42	277.43	69.96	108923.57	101696	7227.57	-376	-27565	0.97	-70.04	-0.65	-27494.96	-25670.69	-1824.27	
1/4/11	11-Apr	Mouse Clicks Per Task	User 003	Gamma	12	Standard	Gamma 12 Pack Standard	Add Evidence 2	3414	204767	19	520.23	59.98	204246.77	190694.11	13552.66	1157	62097	1.14	157.76	-3.23	61939.24	57829.74	4109.5	
1/4/11	11-Apr	Time On Task/secs	User 003	Gamma	12	Standard	Gamma 12 Pack Standard	Add Evidence 2	2249	145658	43	370.06	64.77	145287.94	135647.56	9640.38	688	36457	0.74	92.63	-5.19	36364.37	33951.56	2412.81	
1/1/11	11-Jan	Mouse Clicks Per Task	User 004	Alpha	12	Standard	Alpha 12 Pack Standard	Sign Off	396	35555	27	90.33	89.79	35464.67	33111.19	2353.48	396	35555	70.78	90.33	89.79	35464.67	33111.19	2353.48	
1/1/11	11-Jan	Mouse Clicks Per Task	User 004	Alpha	18	Standard	Alpha 18 Pack Standard	Add Evidence	1575	114674	26	291.34	72.81	114382.66	106792.48	7590.18	1575	114674	92.19	291.34	72.81	114382.66	106792.48	7590.18	
1/1/11	11-Jan	Mouse Clicks Per Task	User 004	Alpha	12	Standard	Alpha 12 Pack Standard	Review Evidence	847	75568	9	191.99	89.22	75376.01	70373.98	5002.03	847	75568	15.15	191.99	89.22	75376.01	70373.98	5002.03	
1/1/11	11-Jan	Time On Task/secs	User 004	Alpha	18	Standard	Alpha 18 Pack Standard	Sign Off	319	25450	67	64.66	79.78	25385.34	23700.5	1684.84	319	25450	6.42	64.66	79.78	25385.34	23700.5	1684.84	
1/2/11	11-Feb	Time On Task/secs	User 004	Alpha	12	Standard	Alpha 12 Pack Standard	Add Evidence	413	39449	102	100.22	95.52	39348.78	36738.11	2610.67	17	3894	-3.71	9.89	5.73	3884.11	3626.92	257.19	
1/2/11	11-Feb	Time On Task/secs	User 004	Alpha	18	Standard	Alpha 18 Pack Standard	Review Evidence	1602	119902	51	304.63	74.85	119597.37	111661.54	7935.83	27	5228	1.21	13.29	2.04	5214.71	4869.06	345.65	0
1/2/11	11-Feb	Mouse Clicks Per Task	User 004	Alpha	12	Standard	Alpha 12 Pack Standard	Add Evidence 2	5394	402587	9	1022.81	74.64	401564.19	374918.3	26645.89	4547	327019	25.47	830.82	-14.58	326188.18	304544.32	21643.86	
1/2/11	11-Feb	Time On Task/secs	User 004	Alpha	18	Standard	Alpha 18 Pack Standard	Add Evidence 2	376	29900	27	75.97	79.52	29824.03	27845.4	1978.63	57	4450	0.94	11.31	-0.26	4438.69	4144.9	293.79	
1/1/11	11-Jan	Mouse Clicks Per Task	User 005	Beta	8	Standard	Beta 8 Pack Standard	Review Evidence	735	84024	12	213.47	114.32	83810.53	78249.18	5561.35	735	84024	92.28	213.47	114.32	83810.53	78249.18	5561.35	
1/1/11	11-Jan	Mouse Clicks Per Task	User 005	Beta	12	Deluxe	Beta 12 Pack Deluxe	Add Evidence	688	79887	11	202.96	116.11	79684.04	74396.51	5287.53	688	79887	64.09	202.96	116.11	79684.04	74396.51	5287.53	
1/1/11	11-Jan	Mouse Clicks Per Task	User 005	Beta	12	Giftset	Beta 12 Pack Giftset	Sign Off	1727	197923	7	502.84	114.61	197420.16	184320.3	13099.86	1727	197923	95.62	502.84	114.61	197420.16	184320.3	13099.86	
1/1/11	11-Jan	Time On Task/secs	User 005	Beta	12	Standard	Beta 12 Pack Standard	Review Evidence	7383	713849	96	1813.61	96.69	712035.39	664787.82	47247.57	7383	713849	99.2	1813.61	96.69	712035.39	664787.82	47247.57	
1/1/11	11-Jan	Time On Task/secs	User 005	Beta	18	Standard	Beta 18 Pack Standard	Add Evidence	4094	372800	168	947.14	91.06	371852.86	347177.95	24674.91	4094	372800	96.81	947.14	91.06	371852.86	347177.95	24674.91	
